4739,1617,240
2000,2826,82
2378,2606,117
2000,2272,90
2000,869,49
3591,2552,116
2000,2269,45
2453,613,79
697,313,23
2000,2385,98
2000,861,65
2000,2050,83
2772,1872,134
4544,2408,126
3207,1952,183
2000,2422,79
2000,2581,42
885,1791,45
2116,868,111
147,2771,13
153,539,23
3011,2107,89
3240,34,75
2000,1882,70
2000,2257,62
4884,2441,129
3849,704,57
2000,2986,101
2746,2357,76
206,722,21
4597,2098,192
2000,678,119
1301,2812,69
2000,1563,92
4038,771,124
1767,2247,92
2000,1314,101
4011,1929,156
2250,2531,82
2066,2269,72
2000,446,41
2449,1127,39
2000,1643,76
1977,1023,53
846,518,49
3016,270,73
451,1558,86
2002,428,18
2000,212,42
2000,1092,62
2000,1130,38
2000,674,49
2000,1628,59
2594,2962,97
2212,1434,114
139,331,7
3541,1653,127
2275,1141,86
2000,2104,57
322,152,24
2000,2094,136
2000,1631,59
2000,580,143
2000,2099,95
2002,196,12
2853,643,107
2000,2536,108
2000,445,50
2000,305,77
2000,1292,53
2000,2876,82
1666,346,67
2000,2174,54
4671,2358,157
2000,427,66
2000,450,43
2000,2111,59
2000,1141,82
2000,2154,44
2000,2518,106
2000,1186,87
2000,157,69
2000,2545,132
2000,1708,112
2000,1371,69
2000,479,47
2000,1541,94
2000,527,72
2000,608,102
2000,38,42
2178,1227,82
2002,33,9
2000,2375,115
2000,1333,79
2000,1450,99
2000,323,55
2000,1144,55
2000,1885,105
2000,777,64
2000,1772,120
2000,2951,144
2000,2707,75
2000,2376,280
2000,2701,77
2000,885,105
2000,700,37
2493,2688,102
2000,2602,95
2000,1758,129
2002,85,10
2000,2869,120
2000,461,80
2000,533,43
2000,421,41
2000,888,96
2000,1019,44
2000,1756,100
2000,644,59
2000,2044,65
2000,2448,109
2000,520,52
2000,748,95
2000,989,64
2000,2726,88
2000,945,68
2000,2405,84
2000,515,66
2000,1310,68
2000,604,46
241,2705,66
304,1580,48
2000,541,92
2000,2681,97
2000,653,65
4151,1073,59
2000,1200,62
1854,1712,70
2000,1792,136
2000,1751,85
2002,147,8
2000,1638,122
2000,2815,58
2000,1687,108
2000,0,88
2000,1912,131
2000,2776,87
2000,2617,85
2002,35,17
289,1223,24
2000,507,62
4418,1086,164
2000,1239,82
2000,1809,74
2000,2255,119
2000,1424,77
2000,789,75
2000,1808,93
2000,2676,85
2000,1212,69
3428,1275,191
2000,805,64
2002,183,10
2000,2652,164
2000,736,89
2000,1214,65
2000,2172,93
2000,2120,56
2000,1786,98
2000,1025,85
2000,980,58
2000,1854,68
2000,2481,113
3200,1500,83
2001,129,22
2000,1716,97
2000,2574,76
2000,2418,102
2000,762,153
2000,1226,87
2000,1390,106
2000,1032,61
2000,2013,72
2000,1202,95
2000,1707,134
2000,2596,119
2000,1363,108
2000,714,94
2000,1662,84
2000,1400,57
2000,2901,68
3693,1676,184
2000,2197,72
2000,2236,118
2000,1508,75
2000,139,61
2000,2923,119
2001,850,31
2000,67,40
2000,1631,162
2000,345,78
2000,1547,64
2000,2098,122
2000,10,63
2000,2477,134
2000,2046,44
2000,408,83
2000,1895,160
2000,1514,78
2000,2063,47
2000,1747,114
2000,1508,61
