2980,204
2695,221
4321,275
2833,94
4734,126
3400,134
3421,119
2000,114
3229,125
1283,61
1025,67
3268,137
4438,188
2690,146
1551,83
3155,76
2000,94
2757,159
1233,93
4626,207
2000,82
4443,159
3252,105
2737,115
2512,122
3765,158
3377,94
3371,133
4142,156
2000,76
3339,126
3780,114
628,78
2250,117
3692,133
4278,175
4773,157
1246,97
2000,86
2839,94
4121,93
1367,113
1151,79
3029,89
629,77
2361,138
3826,136
4729,149
2788,89
3318,186
1646,90
2438,168
630,72
1530,114
2000,92
1336,98
4430,97
565,53
1552,111
2461,135
599,53
627,75
1338,75
1226,67
1314,59
4728,134
1818,112
2000,68
1175,56
2088,114
4944,199
4247,250
2931,119
127,49
3899,89
2172,89
2000,136
2000,82
2000,126
3954,117
3874,113
1942,120
4508,127
464,52
2000,112
4351,127
162,93
2821,109
3251,157
1735,69
553,47
3997,157
2000,94
242,83
2000,92
106,90
4751,75
129,42
2243,87
2392,127
1205,82
513,55
917,86
2000,98
