3357,8802, 129, 0
3669,83, 148, 0
3802,848, 130, 1
3855,1669, 661, 0
3999,4368, 651, 0
4073,5018, 598, 0
4235,6507, 820, 0
4318,3152, 478, 0
4434,787, 529, 0
4962,3994, 534, 0
4935,4328, 622, 0
4518,7532, 699, 0
4298,43104, 660, 1
4299,49021, 653, 0
4301,49143, 643, 0
4145,872, 316, 0
3819,1854, 339, 0
3495,338, 349, 0
3369,30768, 435, 0
3369,3732, 835, 0
3337,195, 777, 0
3314,1463, 772, 0
3287,1729, 797, 0
3289,5720, 869, 0
3290,51533, 770, 0
3280,25046, 782, 0
3245,3983, 736, 0
3258,59477, 852, 0
3255,54711, 734, 0
3255,48717, 744, 0
3255,54076, 776, 0
3255,60967, 814, 0
3254,56267, 794, 1
3880,42717, 590, 1
3896,41333, 570, 1
3902,30641, 437, 1
3884,15548, 0, 0
3705,167, 361, 0
3558,1704, 331, 0
3409,236, 382, 0
3266,6116, 535, 0
3146,759, 434, 0
3012,1082, 488, 1
3132,3771, 741, 0
3208,285, 758, 0
3373,526, 706, 0
4088,0, 0, 0
4091,2679, 805, 0
4115,2026, 818, 0
4137,4787, 838, 0
4166,3754, 715, 0
4202,3403, 774, 0
4199,70359, 784, 1
4339,1466, 416, 0
4466,561, 385, 0
4786,44, 369, 0
4909,1296, 345, 0
5063,3255, 392, 0
5063,27194, 354, 0
5078,29041, 373, 0
5063,27438, 372, 1
5082,27018, 389, 0
5315,5054, 461, 0
5437,1530, 583, 1
5594,2265, 552, 0
5708,4539, 384, 0
5839,32719, 474, 0
5840,37456, 517, 0
5822,30232, 460, 0
4925,1190, 169, 0
4861,11238, 158, 1
4840,0, 0, 0
4805,6833, 865, 0
4773,6369, 824, 0
4748,5181, 707, 0
4727,1944, 800, 0
4715,3746, 766, 0
4708,1396, 706, 0
5152,989, 676, 0
5219,26013, 0, 0
5398,233, 181, 0
5557,804, 203, 0
6072,1276, 196, 1
6208,12104, 160, 1
6242,8014, 746, 0
6340,1872, 626, 1
6447,144, 631, 0
6812,46214, 590, 0
6812,47352, 642, 1
6824,44808, 638, 0
6828,49945, 630, 1
6750,495, 120, 1
5837,6092, 0, 0
5792,2586, 802, 0
5744,2451, 722, 0
5700,955, 700, 0
5650,2429, 845, 0
5593,58044, 796, 0
5589,61669, 814, 0
5588,49386, 686, 0
5592,51942, 816, 0
5589,60944, 835, 0
5591,25124, 0, 0
5464,636, 295, 0
5315,681, 314, 1
5167,1531, 342, 1
4940,1485, 355, 0
4712,2286, 681, 0
4732,1430, 816, 0
4796,4360, 903, 0
4817,27413, 0, 1
4679,2546, 491, 0
4530,1970, 396, 0
4099,1665, 496, 0
4003,113, 471, 0
4004,39934, 548, 0
4008,34692, 520, 1
4077,601, 170, 1
4417,534, 163, 1
4793,29, 135, 1
4951,274, 136, 1
4922,195, 653, 0
4856,4746, 647, 0
4758,11870, 1060, 0
4663,2662, 635, 0
4896,1183, 595, 0
5030,377, 610, 0
5218,26116, 741, 0
5135,3131, 655, 0
4783,1863, 706, 0
4783,59716, 832, 0
4790,53719, 710, 0
4640,516, 145, 0
4484,407, 168, 0
4302,19, 163, 0
4131,728, 166, 1
3973,459, 173, 0
3815,606, 166, 0
3704,533, 106, 0
3399,91, 141, 1
3201,628, 126, 0
3044,551, 146, 0
2885,474, 143, 1
2830,33798, 902, 0
2820,266, 811, 0
2820,3704, 717, 0
2830,26346, 1247, 0
2849,1205, 729, 0
2882,5002, 782, 0
2917,2530, 834, 0
2948,1226, 763, 0
2979,2970, 729, 0
3036,2758, 759, 0
3096,207, 763, 0
3158,3475, 781, 0
3105,2630, 582, 0
2984,240, 559, 0
2877,1827, 720, 0
2776,477, 656, 1
2680,2982, 700, 0
2574,1763, 681, 0
2508,25990, 703, 1
2295,1635, 700, 0
2220,1248, 616, 0
2130,5868, 866, 0
2062,1211, 765, 0
2020,52916, 709, 1
2026,47937, 609, 1
1885,350, 150, 0
1706,1459, 164, 1
1547,478, 194, 1
1371,188, 200, 1
1216,2906, 276, 0
1065,2720, 321, 0
1048,20520, 264, 0
1047,22787, 286, 0
1018,12609, 373, 0
870,325, 359, 0
733,2225, 513, 1
593,1942, 533, 0
491,953, 671, 0
428,2860, 776, 1
421,62693, 865, 0
420,28221, 0, 0
261,335, 219, 0
257,614, 307, 1
599,741, 101, 1
602,7121, 115, 1
579,7385, 102, 1
569,21638, 625, 1
485,2609, 854, 0
524,1033, 721, 1
606,3561, 746, 0
715,542, 571, 0
820,33601, 484, 0
820,29843, 509, 0
808,38441, 535, 0
820,36673, 521, 0
817,35041, 424, 0
947,517, 250, 0
1102,875, 208, 0
1264,103, 216, 0
1439,766, 180, 1
1599,965, 157, 1
1769,134, 124, 1
1723,39, 7, 0
1538,0, 8, 0
1360,26, 12, 0
1178,30, 12, 1
998,74, 13, 1
835,125, 19, 1
759,4394, 818, 0
712,3165, 776, 0
745,4203, 815, 0
821,2531, 768, 1
962,31018, 584, 1
966,42937, 547, 0
1012,1447, 326, 0
1162,3085, 352, 1
1313,608, 282, 1
1469,1447, 250, 0
1644,1768, 191, 0
1800,532, 207, 0
1910,0, 0, 0
2109,637, 131, 1
2253,164, 113, 0
2432,89, 122, 0
2591,1018, 126, 0
2749,448, 104, 0
2889,5949, 83, 0
2866,7724, 104, 0
2862,5757, 91, 1
2919,1983, 39, 0
2925,2289, 60, 0
3093,69, 56, 1
3259,102, 54, 0
3602,445, 43, 1
3765,158, 41, 0
3880,1541, 0, 1
4026,215, 339, 0
4171,793, 328, 0
4324,539, 289, 0
4471,2648, 329, 0
4629,156, 295, 1
4800,1996, 259, 0
4821,18308, 265, 0
4766,14010, 376, 0
4605,69, 367, 0
4462,3095, 331, 0
4313,928, 434, 0
4151,3713, 523, 0
3947,27108, 436, 0
3966,30221, 506, 0
3946,30655, 398, 0
3947,36030, 449, 1
3961,29546, 468, 0
3943,33824, 480, 0
3975,29645, 795, 0
4048,537, 708, 0
4121,1991, 619, 0
4199,2094, 670, 0
4254,662, 155, 0
4094,363, 149, 0
3935,843, 132, 0
3799,707, 167, 0
3596,747, 163, 0
3459,772, 175, 0
3439,14486, 194, 1
3368,8, 163, 1
3225,463, 152, 0
3064,770, 178, 0
2878,552, 199, 1
2726,780, 214, 1
2539,951, 200, 1
