3858,272
4410,293
2972,68
1457,64
1765,81
3558,192
2856,134
3147,101
1290,86
2645,184
992,52
1863,60
2163,81
2135,74
1218,58
1198,92
4322,206
1478,62
2354,127
800,77
3016,124
2105,96
4152,181
177,128
965,78
3279,124
3192,133
4185,129
2844,146
1633,74
1767,81
1427,82
126,39
1786,151
3867,80
4222,95
2049,91
3827,111
1412,69
3861,118
444,159
1395,121
524,67
4657,155
1423,78
1730,75
1885,132
3189,87
2213,61
3037,99
4338,143
453,56
872,61
4712,157
2236,115
4673,214
3072,292
4006,145
1560,154
2468,93
2704,60
4483,94
3610,126
1245,92
1456,102
1554,80
4086,94
3151,96
4571,96
2839,110
3584,161
559,50
489,44
2221,116
2683,224
4367,71
4342,125
484,74
937,48
4534,119
3352,166
1377,86
4082,71
555,71
3062,146
3572,217
984,93
732,54
2898,75
3877,99
4801,238
1152,49
4001,178
1401,72
1876,92
472,48
1004,75
4500,127
2439,97
2164,88
2419,109
2419,81
1883,84
1697,87
475,66
3723,101
777,80
2296,113
1723,71
2856,123
3001,131
3940,88
2598,89
4714,87
3487,123
2557,105
2256,87
1979,267
1566,63
3197,163
563,80
4291,153
4985,179
1335,100
918,84
791,101
2645,78
1086,132
2694,84
1239,92
3236,119
1800,94
1681,183
2017,125
2920,133
1144,117
320,41
3078,132
2876,106
4652,177
1745,213
4301,124
2440,114
1817,107
3725,97
2642,157
261,49
2625,181
4214,205
1348,101
1047,76
2569,125
