585,1142,106
1526,449,58
4015,118,45
3114,2707,132
2647,1678,112
2210,1439,69
1086,1294,87
3500,859,111
2955,1636,68
234,2350,53
2000,2160,88
623,2549,66
289,2387,43
1271,2351,100
2000,1721,90
445,139,31
2000,2334,94
4177,180,209
4968,1744,104
866,333,38
1014,1969,46
2000,116,36
860,339,71
620,2551,90
2000,2926,96
2000,502,88
2832,852,137
2000,1688,90
3757,1435,84
2000,657,58
676,1589,70
2000,1222,100
1099,1024,70
1515,2109,62
1295,744,68
3446,601,90
2000,1618,50
2210,2375,79
1888,2102,97
2286,686,101
2398,1070,51
2594,2649,116
2000,2648,74
927,878,39
342,2589,64
1327,6,69
2000,2677,96
2210,323,40
4033,2686,110
4201,2778,79
2540,738,49
2032,45,57
116,1835,39
4109,28,101
4743,1651,184
1793,2078,54
716,2487,46
3415,2213,115
4420,251,233
2000,1305,50
4675,975,87
4893,1236,97
431,2700,62
669,1484,47
2045,868,100
3658,1960,77
3435,256,57
3452,685,81
3647,2905,83
2000,130,48
2435,1283,114
2000,1783,104
281,2814,47
3174,1575,75
2000,2912,70
4223,2621,140
3932,945,194
2000,2496,86
810,2896,57
1998,1845,73
621,449,34
2559,1380,171
1632,2375,77
4957,2446,81
3920,1476,53
1877,2083,80
1289,2418,57
2634,1437,140
2658,2446,85
997,2513,56
939,2464,54
3516,2063,93
2573,1453,98
1620,1135,70
2934,687,207
1622,1339,72
1521,2449,74
2752,323,65
511,1481,38
1690,876,49
4357,1051,170
4749,1951,139
2099,2926,91
971,1701,67
747,2723,67
4429,78,120
1218,1931,54
1430,1365,73
3365,1548,61
2000,1257,66
1857,2864,150
3354,737,185
242,940,34
1184,672,53
863,151,32
2830,1249,77
3185,937,158
3293,1944,64
4427,529,94
1105,2956,79
3943,82,144
2766,2840,108
2266,2496,72
3546,1503,102
3936,1884,104
2049,1754,92
1525,862,100
3454,2374,126
3698,577,78
4635,198,143
3096,312,48
1177,2646,78
368,1486,39
2256,2183,159
3233,495,81
1731,1800,97
1233,243,43
1847,1453,111
4227,2037,307
3820,678,44
2876,1262,92
3901,1567,93
2504,616,64
1693,1348,66
3297,1718,157
4396,1851,183
3981,2274,80
2369,1308,113
1747,1549,102
382,1282,37
4678,318,137
2000,1785,120
2740,1117,212
2205,1245,83
1019,1430,72
3347,1691,126
4423,2073,99
2000,2988,94
3978,491,95
2000,2908,72
417,1899,40
1178,2863,81
4258,1981,122
3118,1726,145
2528,937,44
2818,1984,102
4598,2979,147
3497,1130,91
3134,482,119
2000,2481,104
2000,2341,54
4513,872,124
671,1250,63
605,601,33
1195,1941,49
1529,1234,54
747,2011,46
436,1174,29
1264,1005,54
3848,2236,62
701,2243,52
4949,2895,103
771,1618,53
1069,2556,77
2315,2974,101
3258,2300,99
1660,2045,73
3582,2294,117
2000,2859,230
2825,1022,89
461,2319,45
1264,298,49
1456,1577,51
1365,831,40
3586,234,139
419,571,33
538,1064,39
3149,2168,72
2000,796,114
4487,2146,84
4918,1457,176
2000,1745,122
2894,2424,127
2760,140,104
1440,537,42
2000,846,48
3874,1529,86
1074,2098,54
2000,2050,100
1740,1497,110
4086,300,77
2625,507,109
3034,2919,91
1972,1770,74
657,989,127
4991,2363,121
1045,56,52
2000,373,106
4303,447,189
1482,2722,72
4485,2590,106
3360,2262,131
2000,2229,82
4038,455,64
3666,2534,149
586,2114,70
1933,1177,73
4830,1372,139
2154,638,51
1512,118,79
813,696,27
4786,2544,185
1021,1374,205
1192,1961,70
2566,2054,102
