3385,8646, 284, 1
3779,10868, 222, 1
4230,18654, 271, 1
3931,3401, 604, 0
3736,4940, 674, 0
3701,18546, 715, 0
3756,2222, 834, 0
3832,61669, 717, 0
3812,962, 28, 0
2901,1366, 42, 0
2928,20160, 760, 0
2962,16478, 647, 0
3006,4754, 796, 0
3131,10530, 719, 0
3157,24701, 837, 0
3075,235, 746, 0
3032,3618, 845, 0
3022,5139, 836, 0
2938,2958, 188, 0
2784,4522, 206, 0
2629,13874, 190, 0
2474,2029, 210, 0
2317,7354, 242, 0
2166,1042, 233, 1
2010,1824, 233, 1
1871,1580, 256, 0
1719,7723, 296, 0
1571,7654, 303, 0
1425,2324, 303, 1
1275,2894, 319, 1
1129,24251, 491, 1
1145,22070, 729, 0
1181,6652, 729, 0
1238,799, 705, 0
1313,7395, 707, 0
1502,8377, 641, 1
1576,5368, 625, 0
1672,3267, 605, 0
1774,3499, 583, 0
1886,441, 534, 0
2017,2023, 559, 0
2154,12349, 394, 1
2263,2145, 550, 0
2381,15202, 398, 1
2510,2678, 511, 0
2637,5681, 495, 0
2779,10240, 421, 0
2915,7768, 473, 0
3015,10154, 745, 1
3031,34236, 465, 0
3056,6714, 712, 1
3089,41600, 926, 0
3134,25632, 509, 0
3182,13078, 737, 0
3236,21568, 576, 0
3227,77419, 1098, 0
3226,24864, 678, 0
3232,18473, 868, 1
3249,41615, 956, 1
3272,56490, 1003, 0
3302,17209, 835, 1
3282,4569, 729, 0
3254,24255, 887, 0
3234,20018, 953, 0
3223,881, 819, 0
2701,7756, 242, 0
2547,72, 243, 1
2396,5929, 253, 1
2282,4133, 528, 1
2416,9398, 555, 0
2541,14317, 617, 0
2674,18395, 536, 0
2822,9437, 448, 0
2955,30024, 374, 0
3087,66522, 0, 1
3094,26702, 709, 0
3110,13316, 837, 0
3134,34212, 910, 0
3169,13213, 814, 0
3210,31091, 900, 0
3257,42477, 579, 0
3263,24825, 600, 0
3264,617, 639, 0
3274,33901, 998, 0
3291,15939, 831, 0
3318,17480, 817, 0
3352,8000, 807, 0
3365,30076, 760, 0
3364,21720, 882, 0
3373,23415, 765, 0
3389,1669, 826, 0
3412,20967, 808, 0
3442,52380, 751, 0
3502,14769, 370, 0
3656,8187, 354, 0
3799,5880, 398, 0
3957,7026, 370, 0
4102,2150, 365, 0
4250,2299, 322, 0
4345,4066, 778, 0
4308,44920, 959, 0
4274,9183, 839, 0
4248,734, 828, 0
4227,13596, 731, 0
4212,26221, 901, 0
4203,11138, 767, 0
4321,1933, 792, 0
4369,5204, 736, 0
4426,46254, 740, 0
4491,871, 650, 0
4547,34118, 873, 0
4612,43371, 731, 1
4681,6275, 738, 0
4763,8040, 749, 1
4841,78595, 650, 0
4927,4419, 641, 0
5039,3, 65, 0
5203,4869, 96, 0
5363,851, 57, 0
5537,546, 55, 0
5697,2451, 81, 1
5871,608, 51, 0
5898,33759, 885, 1
6135,47998, 1078, 0
6210,17182, 718, 0
6284,1033, 81, 0
6444,3150, 54, 0
6604,919, 85, 0
6762,406, 77, 0
6925,2321, 74, 1
7098,313, 71, 0
7258,1107, 76, 0
7226,26321, 858, 0
7193,15471, 669, 0
7161,25653, 805, 0
7128,20128, 850, 0
7107,7822, 883, 0
7092,3894, 826, 0
7106,5445, 710, 0
7124,19533, 850, 0
7146,6386, 778, 0
7170,18921, 1111, 0
7199,9420, 837, 0
7233,14309, 705, 0
7354,989, 425, 0
7494,6959, 416, 0
7642,3352, 374, 0
7826,5999, 561, 0
7711,5656, 598, 0
7609,16066, 605, 0
7498,12212, 788, 0
7398,97917, 682, 0
7491,1065, 603, 0
7592,51108, 668, 0
8085,11657, 825, 0
8124,12375, 676, 0
8162,7929, 825, 0
8205,2882, 778, 0
8251,8235, 752, 0
8375,332, 25, 0
8535,329, 29, 0
8715,952, 36, 0
8871,392, 24, 0
9035,606, 22, 1
9190,53, 27, 1
9245,13231, 708, 1
9215,36010, 1084, 0
9185,15420, 657, 0
9160,11935, 790, 0
9139,54534, 758, 0
9120,14633, 820, 0
9139,7832, 540, 0
9251,12723, 611, 0
9359,13309, 494, 1
9486,20270, 658, 0
9608,5266, 534, 0
9725,3407, 517, 0
9792,7859, 650, 0
9669,15098, 634, 0
9558,7790, 604, 0
9458,16027, 662, 0
9351,8621, 582, 0
9235,4632, 609, 0
9137,75951, 0, 0
9279,8154, 321, 0
9429,2411, 323, 0
9590,3063, 329, 0
9736,10505, 383, 1
9887,3671, 307, 0
10035,2667, 324, 0
9542,26922, 627, 0
9421,497, 466, 0
9293,9283, 389, 0
9160,183, 267, 0
8996,69, 254, 0
8843,5235, 278, 0
8694,4823, 283, 0
8545,4739, 282, 0
8380,1512, 269, 0
8330,17153, 368, 1
8440,2255, 575, 0
8564,1349, 524, 0
8676,4785, 540, 0
8805,7444, 540, 0
8923,611, 548, 0
9039,12378, 259, 0
9175,14627, 465, 1
9762,5424, 406, 1
9904,23058, 684, 1
10032,7637, 489, 0
10164,14084, 457, 0
10308,42219, 491, 0
10436,6246, 462, 0
10570,6733, 442, 0
10688,29897, 0, 0
10545,2138, 300, 0
10388,4157, 331, 0
10243,20263, 515, 0
10100,5797, 372, 0
9958,11003, 415, 0
9811,3594, 352, 1
9927,944, 55, 0
10089,1085, 62, 1
10247,884, 55, 1
10406,148, 56, 1
10580,1628, 61, 1
10743,3121, 79, 0
10884,1319, 330, 1
11026,563, 305, 0
11175,5387, 225, 0
11338,5536, 317, 0
11499,1956, 294, 0
11649,18530, 433, 0
11660,6145, 716, 0
11577,38509, 909, 0
11219,4322, 436, 0
