887,200
799,79
741,47
2813,76
16,48
192,78
122,56
1465,69
139,69
2121,60
2330,76
2907,54
1969,72
2814,82
28,38
0,34
0,26
0,21
198,47
630,97
1789,51
16,54
2914,108
410,148
1060,56
211,41
161,57
511,64
2010,96
228,46
0,38
437,44
54,91
241,120
1489,64
575,75
329,44
13,32
1354,63
2422,94
393,70
198,33
1712,116
2516,116
379,63
417,127
2095,146
2801,67
2250,90
1270,58
512,53
1513,62
2655,98
2573,111
1359,93
362,103
142,108
134,57
207,72
2667,120
358,63
91,57
818,90
2971,82
12,75
2838,95
143,63
2450,95
82,110
572,53
2592,133
1561,61
1010,77
1607,90
218,95
11,61
108,44
985,164
1282,81
1160,69
0,69
1683,75
1255,46
685,52
2317,65
2619,147
43,100
2470,108
1736,129
158,54
2672,112
551,67
864,55
31,64
718,107
6,65
253,39
1041,110
485,235
192,32
281,35
2741,76
921,136
2969,99
1288,88
761,64
6,65
2670,183
364,64
65,78
66,60
984,68
438,50
19,77
78,91
2288,148
205,60
840,104
636,87
176,57
303,61
1319,74
890,74
2520,90
2028,100
2323,142
29,49
1037,55
403,83
1578,138
16,54
1212,101
1541,75
2869,95
282,87
2094,147
126,64
2469,80
185,60
318,38
285,58
