2211,1070,206
2000,247,40
4763,880,64
631,2655,62
2054,135,79
518,544,43
4595,1892,137
3549,1979,107
1079,1961,59
3477,2056,106
170,250,20
2191,804,81
4872,2059,85
3264,742,118
284,2881,95
3977,1502,173
125,1914,209
4518,1522,51
4218,2159,90
2899,1815,85
3521,1072,51
942,1162,77
1420,2913,107
2767,80,44
4765,1722,91
262,1568,4
2000,148,73
4685,1856,76
4067,584,82
4397,1514,119
3299,1637,167
2365,2938,86
3386,1181,244
4985,2901,151
2006,682,78
167,220,10
2516,2053,88
4238,1783,197
4841,536,85
624,706,35
4341,2532,147
4251,2302,125
3977,1583,105
245,1427,39
1973,443,81
636,421,5
1715,1181,129
803,2135,67
1754,2064,55
697,328,33
1011,2124,68
3360,27,73
4168,2934,113
2000,1919,75
2000,1103,77
2000,921,80
2000,809,105
2000,2033,96
2000,1124,51
790,647,40
2000,993,58
2000,2481,115
2000,1873,65
1073,2003,88
2000,209,44
2000,1478,71
1500,420,52
2000,746,63
891,1045,52
1890,1092,103
2000,344,81
2436,2455,74
2000,415,50
2000,2364,101
2000,2104,91
2000,2801,80
2000,153,86
2000,502,60
2000,1241,68
2000,2279,84
2000,1064,76
2000,1569,81
2000,921,75
2000,2680,84
2001,455,31
2001,90,21
2000,195,44
352,1438,66
2587,681,125
2000,2551,58
2000,921,61
2000,159,72
2000,956,78
4144,2650,117
2001,35,25
1768,2581,72
2000,221,54
2000,1327,104
2000,2033,61
2002,110,19
3900,994,89
2000,2666,120
2000,1127,49
3166,110,110
2000,1553,142
2000,1413,65
2000,2141,93
2000,2051,78
2000,2920,80
2000,2067,101
2000,1398,77
2000,996,70
2000,2245,114
2000,1462,64
2000,942,67
2000,456,67
2000,2683,117
2000,1545,125
2000,1383,67
2000,658,48
4003,2422,99
2000,592,59
2000,1698,54
2117,2924,81
2000,1959,105
2000,771,64
2000,2292,100
2000,668,111
2000,2253,72
2000,1699,99
2000,1941,89
2002,525,6
3214,2347,83
2000,605,67
2000,330,43
2000,1589,100
2000,528,96
2000,658,72
2000,2477,119
2000,2448,146
2000,726,44
2536,992,104
2000,318,64
2000,2822,97
2000,1552,92
2000,2879,82
2000,1626,84
2001,125,19
2000,417,50
2000,2222,68
2000,1252,172
2000,510,49
2000,1722,88
2000,790,66
2000,2438,81
2000,1580,147
2001,116,29
2000,2722,72
4691,2376,82
2000,1142,55
2000,2689,79
2000,1744,133
