2609,2176,3466
1171,1200,92
1072,2562,80
2000,2894,94
761,576,59
2824,602,109
3279,2877,159
2000,333,50
1914,2917,142
3570,161,111
303,438,34
2000,2663,190
2000,449,74
2000,1768,108
315,2252,50
940,2902,61
3592,2271,115
3488,862,165
2000,1471,72
237,1928,1
394,2372,67
3352,1174,142
2000,303,42
2000,2508,110
921,1843,88
3857,2731,186
948,2783,93
2853,1083,131
2528,2582,481
1360,270,153
2968,2717,227
2000,2294,118
3080,147,325
4168,1208,227
2000,1900,250
1723,946,51
4732,1260,96
166,2149,41
2858,1046,422
1561,1712,87
1554,674,100
2045,2160,132
4144,1710,113
4444,2116,226
3679,866,102
779,12,32
1207,1609,57
3093,2623,105
1652,641,74
728,283,34
3735,2228,128
1097,1122,44
581,42,32
2171,153,47
2000,2702,132
4310,2956,174
1191,969,72
2078,1029,98
3388,2596,120
216,1765,75
2474,173,90
1570,859,78
978,2481,128
4091,2582,136
2022,2699,149
3650,2275,102
3824,2618,273
2000,2110,320
500,2734,3229
745,2036,77
284,1228,79
1475,2212,108
1183,2726,125
3740,1144,165
2000,584,136
2014,1966,122
2904,2561,187
745,1834,89
767,1742,47
1634,891,84
3549,2104,147
1647,991,180
637,2327,49
2908,2382,93
2000,1351,68
3070,688,50
2329,774,86
356,176,30
3038,1270,166
2188,253,66
1400,1828,117
3928,1466,189
2000,1991,88
2191,1868,105
2000,51,46
2000,1634,54
2078,1036,59
4475,2826,173
1126,1391,52
3898,406,134
3150,1460,167
467,391,2
3495,398,8
1351,2368,85
1843,573,73
601,762,77
3944,916,67
4914,1401,170
1084,485,1
806,2616,109
2982,1699,231
2338,2820,158
4376,2734,223
3682,781,104
1120,773,74
1640,744,45
906,2384,59
2752,662,244
517,1062,73
3919,2570,141
2815,2046,225
1563,163,71
2993,1697,274
2078,919,85
2113,1506,82
2000,2036,70
3425,2149,254
4721,1005,169
3998,1383,206
2619,1832,81
3494,2553,134
1841,594,50
1654,2899,88
1715,1743,71
697,911,41
3315,144,4
3682,2269,152
467,2558,72
1796,720,105
4523,2290,95
2632,841,101
3352,1054,197
2203,2376,148
3754,316,105
4303,1285,91
553,1339,83
2000,2832,70
3323,1496,90
1387,1556,89
2907,2210,55
2536,856,212
3522,2052,159
