179,788
1056,87
257,73
176,61
1829,51
2024,79
1058,51
2560,83
338,48
2817,100
683,91
1117,126
77,130
347,78
353,42
1121,80
215,68
19,41
32,40
2681,105
809,46
80,80
892,48
2898,122
57,72
2111,70
29,64
331,86
299,70
2379,99
82,126
3,50
2200,96
1759,87
1774,71
484,48
219,107
69,54
129,37
14,29
10,28
135,64
20,71
1462,146
322,56
1132,84
120,45
1616,89
612,71
4,52
440,52
1636,74
1293,90
1436,88
1450,56
406,79
19,53
1124,52
243,66
837,65
1915,98
999,109
72,76
851,95
660,83
2751,133
1847,154
164,66
130,61
0,43
2,41
1788,101
938,84
34,46
2254,87
1287,108
179,45
1680,99
36,80
2153,80
1394,67
126,96
849,49
742,81
2015,78
608,44
1669,57
235,48
1286,125
