2310,362
2878,135
3881,146
1834,82
2746,60
1393,196
3224,77
3319,150
3892,96
2876,103
2963,120
2611,96
2577,95
3238,130
3780,98
2036,108
3153,82
3000,81
3079,88
2103,96
3390,134
2572,123
2261,96
2346,90
2465,84
2907,80
3125,70
2613,114
2219,87
918,62
2193,121
2764,117
2152,207
1961,391
2543,94
1064,124
2593,80
798,43
1775,65
1011,106
775,110
2265,103
2889,141
412,71
2351,87
2618,99
3128,155
1938,76
1675,69
2283,87
1731,151
1960,90
2516,214
3143,103
574,86
1628,90
1788,84
2997,125
3416,113
2636,124
797,79
2704,186
